"y","x"
473,814
476,815
476,816
478,817
478,818
476,819
476,820
477,821
477,822
475,823
475,824
469,825
469,826
475,827
475,828
478,829
478,830
474,831
474,832
472,833
472,834
472,835
472,836
474,837
474,838
473,839
473,840
472,841
472,842
476,843
476,844
475,845
475,846
476,847
476,848
475,849
475,850
474,851
474,852
470,853
470,854
470,855
470,856
475,857
475,858
471,859
471,860
465,861
465,862
468,863
468,864
475,865
475,866
474,867
474,868
472,869
472,870
472,871
472,872
471,873
471,874
471,875
471,876
471,877
471,878
476,879
476,880
470,881
470,882
464,883
464,884
471,885
471,886
472,887
472,888
466,889
466,890
471,891
471,892
474,893
474,894
472,895
472,896
472,897
472,898
475,899
475,900
474,901
474,902
471,903
471,904
471,905
471,906
471,907
471,908
469,909
469,910
477,911
477,912
474,913
474,914
466,915
466,916
469,917
469,918
473,919
473,920
468,921
468,922
467,923
467,924
471,925
471,926
471,927
471,928
472,929
472,930
468,931
468,932
467,933
467,934
468,935
468,936
474,937
474,938
471,939
471,940
469,941
469,942
470,943
470,944
467,945
467,946
465,947
465,948
467,949
467,950
467,951
467,952
467,953
467,954
464,955
464,956
463,957
463,958
469,959
469,960
468,961
468,962
469,963
469,964
466,965
466,966
464,967
464,968
466,969
466,970
471,971
471,972
468,973
468,974
465,975
465,976
462,977
462,978
465,979
465,980
469,981
469,982
465,983
465,984
462,985
462,986
464,987
464,988
468,989
468,990
464,991
464,992
462,993
462,994
458,995
458,996
470,997
470,998
474,999
474,1000
461,1001
461,1002
460,1003
460,1004
468,1005
468,1006
463,1007
463,1008
459,1009
459,1010
464,1011
464,1012
462,1013
462,1014
460,1015
460,1016
463,1017
463,1018
465,1019
465,1020
464,1021
464,1022
460,1023
460,1024
462,1025
462,1026
466,1027
466,1028
466,1029
466,1030
460,1031
460,1032
461,1033
461,1034
466,1035
466,1036
462,1037
462,1038
460,1039
460,1040
464,1041
464,1042
462,1043
462,1044
458,1045
458,1046
460,1047
460,1048
465,1049
465,1050
464,1051
464,1052
457,1053
457,1054
454,1055
454,1056
459,1057
459,1058
464,1059
464,1060
462,1061
462,1062
460,1063
460,1064
460,1065
460,1066
463,1067
463,1068
460,1069
460,1070
456,1071
456,1072
462,1073
462,1074
462,1075
462,1076
456,1077
456,1078
463,1079
463,1080
461,1081
461,1082
455,1083
455,1084
458,1085
458,1086
461,1087
461,1088
458,1089
458,1090
459,1091
459,1092
458,1093
458,1094
459,1095
459,1096
461,1097
461,1098
462,1099
462,1100
456,1101
456,1102
458,1103
458,1104
463,1105
463,1106
458,1107
458,1108
456,1109
456,1110
460,1111
460,1112
460,1113
460,1114
461,1115
461,1116
458,1117
458,1118
457,1119
457,1120
455,1121
455,1122
460,1123
460,1124
462,1125
462,1126
460,1127
460,1128
457,1129
457,1130
456,1131
456,1132
458,1133
458,1134
458,1135
458,1136
458,1137
458,1138
454,1139
454,1140
455,1141
455,1142
456,1143
456,1144
452,1145
452,1146
453,1147
453,1148
455,1149
455,1150
454,1151
454,1152
456,1153
456,1154
455,1155
455,1156
455,1157
455,1158
454,1159
454,1160
460,1161
460,1162
456,1163
456,1164
454,1165
454,1166
455,1167
455,1168
453,1169
453,1170
453,1171
453,1172
458,1173
458,1174
461,1175
461,1176
453,1177
453,1178
451,1179
